,Problem_Slug,Description,Plag_Slug_Percentage
114,lq143r,"You have a requirement to implement two-way data binding with the ngModel class. Here is the sample codeapp.component.html :label for=""example-ngModel""/labelinput _______________ id=""example-ngModel""app.component.ts :export class AppComponent implements OnInit {currentItem!: Item;Fill the blank space with the appropriate option from the following?} [(ngModel)]=""currentItem.name""
","[['lq143r', 98.01], ['6y9m4b', 78.25]]"
115,lq1431,"You have a requirement to implement two-way data binding without ngModel class. Here is the sample codeapp.component.html :
label for=""without""without NgModel:/label
input [value]=""currentItem.name"" ___________ id=""without""
app.component.ts :
export class AppComponent implements OnInit {
currentItem!: Item;
getValue(event: Event): string {
return (event.target as HTMLInputElement).value;
}
Fill the blank space with the appropriate option required for two data binding from the following?}(input)=""currentItem.name=getValue($event)""
","[['lq1431', 83.4]]"
116,wpberm,"You have a requirement to implement a safe navigation operatorapp.component.html :
div
pThe null item's name is: ________/p
/div
app.component.ts :
export class AppComponent {
title = 'Template Expression Operators';
item: Item = {
name : 'Angular',
manufactureDate : new Date(1980, 1, 25),
color: 'Red',
price: 98,
};
nullItem: Item | null = null;
}
Fill the blank space with the appropriate option from the following?{{nullItem?.name}}
","[['wpberm', 72.7]]"
117,8y4ega,"You have a requirement to implement a non-null assertion operator, OUTPUT is ORANGEapp.component.html :
div
pThe item's color is: {{item.color!.toUpperCase()}}/p
/div
app.component.ts :
export class AppComponent {
title = 'Template Expression Operators';
item: Item = {
name : 'Angular',
manufactureDate : new Date(1980, 1, 25),
color: '_______',
price: 98,
};
nullItem: Item | null = null;
}
Fill the blank space with the appropriate option from the following?All the Above","[['8y4ega', 78.63]]"
118,xqmo9x,"You have a requirement to implement a non-null assertion operator and the output should be RED, Refer below codeapp.component.html :
div
p_______________/p
/div
app.component.ts :
export class AppComponent {
title = 'Template Expression Operators';
item: Item = {
name : 'Angular',
manufactureDate : new Date(1980, 1, 25),
color: 'Red',
price: 98,
};
nullItem: Item | null = null;
}
Fill the blank space with the appropriate option from the following?{{item.color!.toUpperCase()}}
","[['xqmo9x', 73.75], ['8y4ega', 67.32]]"
119,8y4egy,"You have a requirement to implement two-way data binding with in-built directives. Here is the sample codeapp.component.html :
h4 id=""ngFor-trackBy""*ngFor trackBy/h4
button (click)=""changeIds()""Change ids/button
piwithout/i trackBy/p
div class=""box""
div #noTrackBy *ngFor=""let item of items""({{item.id}}) {{item.name}}/div
div id=""noTrackByCnt"" *ngIf=""itemsNoTrackByCount"" 
Item DOM elements change #{{itemsNoTrackByCount}} without trackBy
/div
/div
app.component.ts :
export class AppComponent {
item!: Item; // defined to demonstrate template context precedence
items: Item[] = [];
currentItem!: Item;
itemsNoTrackByCount= 0;
itemsWithTrackByCount = 0;
itemsWithTrackByCountReset = 0;
itemIdIncrement = 1;
resetItems() {
this.items = Item.items.map(item = item.clone());
this.currentItem = this.items[0];
this.item = this.currentItem;
}
changeIds() {
__________________
}
Complete the code snippet to achieve the functionality to changes() ?} Sample output : (1) Teapot(2) Lamp(3) Phone(4) Television(5) FishbowlItem DOM elements change #1 without trackBythis.items.forEach(i = i.id += 1 * this.itemIdIncrement);
this.itemsWithTrackByCountReset = -1;
this.itemsNoTrackByCount = ++this.itemsNoTrackByCount;
this.itemsWithTrackByCount = ++this.itemsWithTrackByCount;
","[['8y4egy', 76.93], ['xqmo99', 73.5], ['6y9m43', 72.31]]"
120,xqmo99,"You have a requirement to implement two-way data binding with in-built directives.Here is the sample codeapp.component.html :
h4 id=""ngFor-trackBy""*ngFor trackBy/h4
button (click)=""resetList()""Reset items/button 
piwithout/i trackBy/p
div class=""box""
div #noTrackBy *ngFor=""let item of items""({{item.id}}) {{item.name}}/div
div id=""noTrackByCnt"" *ngIf=""itemsNoTrackByCount"" 
Item DOM elements change #{{itemsNoTrackByCount}} without trackBy
/div
/div
app.component.ts :
export class AppComponent {
item!: Item; // defined to demonstrate template context precedence
items: Item[] = [];
currentItem!: Item;
itemsNoTrackByCount= 0;
itemsWithTrackByCount = 0;
itemsWithTrackByCountReset = 0;
itemIdIncrement = 1;
resetItems() {
this.items = Item.items.map(item = item.clone());
this.currentItem = this.items[0];
this.item = this.currentItem;
}
resetList() {
this.resetItems();
_____________
}
Complete the code snippet to achieve the functionality to resetList() ?} SampleOutput : (0) Teapot(1) Lamp(2) Phone(3) Television(4) FishbowlItem DOM elements change #1 without trackBythis.itemsWithTrackByCountReset = 0;
this.itemsNoTrackByCount = ++this.itemsNoTrackByCount;
","[['xqmo99', 80.32], ['8y4egy', 77.59], ['6y9m43', 75.21]]"
121,oq3l31,"As angular developer anaylize the below code and find out any errors within the code?h5NAME/h5
ul ngFor=""let person of people""
li [ngClass]=""{
'text-success':person. === 'UK',
'text-primary':person.country === 'USA',
'text-danger':person.country === 'HK'
}""{{ person.name }} ( person.country )
/li
/ul
h5NAME/h5
ul *ngFor=""let person of people""
li [ngClass]=""{
'text-success':person.country === 'UK',
'text-primary':person.country === 'USA',
'text-danger':person.country === 'HK'
}""{{ person.name }} ({{ person.country }})
/li
/ul
","[['oq3l31', 93.93], ['9de0el', 69.31]]"
122,4g8b8x,"As an Angular developer, you need to validate the date and display error if the check fails. Choose from the below options how would you do the same.p
Student Birth Date:br
input type=""date"" name=""BirthDate"" ng-model=""BirthDate"" required placeholder=""yyyy-MM-dd""
span style=""color:red"" ng-show=""myForm.BirthDate.$dirty  myForm.BirthDate.$invalid""
span ng-show=""myForm.BirthDate.$error.required""Student Birth Date is required./span
span ng-show=""myForm.BirthDate.$error.date""Not a Valid Date./span
/span
/p
","[['pogxg4', 78.23], ['xqm4lg', 76.21], ['3g1o6v', 70.73]]"
123,6y9m4b,"You have a requirement to implement two way data binding without ngModel class.Here is the sample codeapp.component.html :
label for=""example-ngModel""[(ngModel)]:/label
input [(ngModel)]=""currentItem.name"" id=""example-ngModel""
app.component.ts :
export class AppComponent implements OnInit {
currentItem!: Item;
getValue(event: Event): string {
_____________________
}
Fill the blank space with appropriate option from the following?return (event.target as HTMLInputElement).value;
","[['6y9m4b', 81.36], ['lq143r', 75.4], ['lq1431', 71.86]]"
124,gbrr1r,"import { Directive, HostBinding, ElementRef, HostListener } from '@angular/core';
@Directive({
selector: '[appCssToggle]'
})
export class CssToggleDirective {
@HostBinding() isBgWarning = false;
constructor(private elRef: ElementRef) { }
HostListener('click', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
Please read the above code which contains some errors and choose the correct version itself.import { Directive, HostBinding, ElementRef, HostListener } from '@angular/core';

@Directive({
selector: '[appCssToggle]'
})
export class CssToggleDirective {
@HostBinding('class.bg-warning') isBgWarning = false;

constructor(private elRef: ElementRef) { }

@HostListener('click', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
","[['gbrr1r', 81.23], ['yybrbp', 81.23], ['n1mewq', 68.05], ['yyb6xo', 66.62]]"
125,3g1w1o,"If the component.html file looks likep {{serverID}}- {{serverStatus}}. /p. 
Then how would the component.ts file would be like if we to show the serverstatus randomly ""Online"" and ""Offline""import {Component} from '@angular/core';
@Component(
{selector: 'app-server',
templateUrl: 'server.component.html'})
export class ServerComponent {
serverID: number = 10;
serverStatus: string = 'Offline';

constructor () {
this.serverStatus = Math.random()  0.5 ? 'Online' : 'Offline';
}
 getServerStatus() {
return this.serverStatus;
}
}
","[['3g1w1o', 71.95]]"
126,ao6964,"John wants to create something in which it would present a form that is working on two-way binding and the input space and result space are tied together in a way that updates things automatically. So choose from the following that would do the needful.import {Component} from '@angular/core';

@Component({
selector: 'example-app',
template: `
input [(ngModel)]=""name"" #ctrl=""ngModel"" required
Value: {{ name }}
Valid: {{ ctrl.valid }}
button (click)=""setValue()""Setting/button
})
export class SimpleNgModelComp {
name: string = '';
setValue() { this.name = 'Myname'; }
}
",[]
127,d08r81,"p
input type=""number"" name=""StudentRollNumber"" ng-class=""StudentRollNumber"" required
span style=""color:red"" ng- show=""myForm.StudentRollNumber.$dirty  myForm.StudentRollNumber.$invalid""
span ng-show=""myForm.StudentRollNumber.$error.required""Student Roll Number is required./span
span ng-show=""myForm.StudentRollNumber.$error.number""Not valid number!/span
span/
/p 
In the above validation code find the error and choose the corrected code from the following.p
input type=""number"" name=""StudentRollNumber"" ng-model=""StudentRollNumber"" required
span style=""color:red"" ng- show=""myForm.StudentRollNumber.$dirty  myForm.StudentRollNumber.$invalid""
span ng-show=""myForm.StudentRollNumber.$error.required""Student Roll Number is required./span
span ng-show=""myForm.StudentRollNumber.$error.number""Not valid number!/span
/span
/p
","[['d08r81', 82.88]]"
128,pogxg4,"Read the validation code for date and find out the error in the code.p
Student Birth Date:br
input type=""date"" name=""BirthDate"" ng-class=""BirthDate"" required placeholder=""yyyy-MM-dd""
span style=""color:red"" ng-show=""myForm.BirthDate.$dirty  myForm.BirthDate.$invalid""
span ng-show=""myForm.BirthDate.$error.required""Student Birth Date is required./span
span ng-show=""myForm.BirthDate.$error.date""Not a Valid Date./span
/span
/p
p
Student Birth Date:br
input type=""date"" name=""BirthDate"" ng-model=""BirthDate"" required placeholder=""yyyy-MM-dd""
span style=""color:red"" ng-show=""myForm.BirthDate.$dirty  myForm.BirthDate.$invalid""
span ng-show=""myForm.BirthDate.$error.required""Student Birth Date is required./span
span ng-show=""myForm.BirthDate.$error.date""Not a Valid Date./span
/span
/p
","[['pogxg4', 89.86], ['xqm4lg', 86.73], ['3g1o6v', 83.28]]"
129,0qrlr8,"Jim is working on an angular application and he finds some errors in his code. Read his code and choose the error-free version of the code.import { Directive, ElementRef, HostListener } from '@angular/core';
Directive({
selector: '[appCollapse]'
})
export class CollapseDirective {
isShow = true;
constructor(private elRef: ElementRef, private renderer: Renderer2) { }
HostListener('click', ['event']) toggleOpen() {
const nextEl = this.renderer.nextSibling(this.elRef.nativeElement);
this.isShow = !this.isShow;
if (this.isShow) {
this.renderer.addClass(nextEl, 'show');
} else {
this.renderer.removeClass(nextEl, 'show');
}
}
}
import { Directive, ElementRef, HostListener, Renderer2 } from '@angular/core';

@Directive({
selector: '[appCollapse]'
})
export class CollapseDirective {
isShow = true;

constructor(private elRef: ElementRef, private renderer: Renderer2) { }
@HostListener('click', ['$event']) toggleOpen() {
const nextEl = this.renderer.nextSibling(this.elRef.nativeElement);
this.isShow = !this.isShow;
if (this.isShow) {
this.renderer.addClass(nextEl, 'show');
} else {
this.renderer.removeClass(nextEl, 'show');
}
}
}
","[['0qrlr8', 79.07], ['bnvd4v', 73.03]]"
130,gb6g69,"What's the correct way of initiating the$rootScope?script
angular.module('app', []).controller('x', function ($scope, $rootScope) {
$rootScope.showAlert = ""Hello Everyone"";
});

angular.module('app').controller('x2', function ($scope, $rootScope) {
$scope.val = $rootScope.showAlert;
alert($scope.val);
});
/script
",[]
131,1q6x6e,"input type=""number"" name=""marks"" ng-model=""marks"" max=""100"" required
span style=""color:red"" ng-show=""myForm.marks.$dirty  myForm.marks.$invalid""
span ng-show=""myForm.marks.$error.required""Email is required./span
span ng-show=""myForm.marks.$error.number""Invalid number./span
span ng-show=""myForm.marks.$error.max""Max Percentage is 100./span
/span
What type of code is the above example of?Range Validation Max and Min","[['1q6x6e', 88.28], ['6y958r', 76.75]]"
132,n1m6mo,"Among which of the following options, its code would run error-free?import { Component } from '@angular/core';

@Component ({
selector: 'my-app',
template: ` div
h1{{title}}/h1
divSomething done/div
/div `,
})

export class AppComponent {
title: string = 'Welcome to Angular world';
}
",[]
133,eewqwy,"Ray wants to create a custom CSS toggle in angular. She wants that when the element is clicked by the user it will add/remove the CSS class. Choose from the following how can she create one?import { Directive, HostBinding, ElementRef, HostListener } from '@angular/core';

@Directive({
selector: '[appCssToggle]'
})
export class CssToggleDirective {
@HostBinding('class.bg-warning') isBgWarning = false;

constructor(private elRef: ElementRef) { }

@HostListener('click', ['$event']) toggleOpen(event: Event) {
this.isBgWarning = !this.isBgWarning;
}
}
",[]
134,rldwdo,"Read the following code and choose the error-free version of the followingComponent({
selector: 'example-app',
template: `
input [(ngModel)]=""name"" #ctrl=""ngModel"" required
Value: {{ name }}
Valid: {{ ctrl.valid }}
button (click)=""setValue()""Setting/button
})
export class SimpleNgModelComp {
name: string = '';
setValue() { this.name = 'Myname'; }
}
import {Component} from '@angular/core';

@Component({
selector: 'example-app',
template: `
input [(ngModel)]=""name"" #ctrl=""ngModel"" required
Value: {{ name }}
Valid: {{ ctrl.valid }}
button (click)=""setValue()""Setting/button
})
export class SimpleNgModelComp {
name: string = '';
setValue() { this.name = 'Myname'; }
}
","[['rldwdo', 69.29]]"
135,bnvev9,"Mark wants to break down its angular application into various modules. Which among the following would be his obvious choice?import { NgModule }from '@angular/core';
import { BrowserModule } from '@angular/platform-browser';
import { AppComponent }from './app.component';

@NgModule ({
imports:[ BrowserModule ],
declarations: [ AppComponent ],
bootstrap:[ AppComponent ],
providers: []
})
export class AppM { }
",[]
136,vbg9l9,"Read the following inline template code import { Component } from '@angular/core';
@Component ({
selector: 'my-app',
template: '
div
h1{{title}}/h1
divSomething done/div
/div
'
})
export class AppComponent {
title: string = 'Done';
}
While converting it to a template file named app.component.html, what would be the changes that would be followed up in this code?import { Component } from '@angular/core';

@Component ({
selector: 'my-app',
templateUrl: 'app/app.component.html'
})

export class AppComponent {
title: string = 'Done';
}
","[['vbg9l9', 79.78]]"
137,lq1411,"After executing the following commandng g m test-module
What would the module inside the src/app/test-module/test-module.module.ts file look like?import { NgModule } from '@angular/core';
import { CommonModule } from '@angular/common';

@NgModule({
declarations: [],
imports: [
CommonModule
]
})
export class TestModuleModule { }

","[['lq1411', 69.38]]"
138,6y9m9b,"If you execute the a service commandng g s test-service
The service created inside src/app/test-service.service.ts would look likeimport { Injectable } from '@angular/core';

@Injectable({
providedIn: 'root'
})
export class TestServiceService {

constructor() { }

}
","[['6y9m9b', 74.0]]"
139,8y4e4y,"Read the following code and identify the error inside tthat codeimport { Injectable } from '@angular/core';
import { Http } from '@angular/http';
@Injectable({ 
providedIn: 'root', 
})
export class RepoService{
constructor(private http: Http){
}
fetchAll(){
this.http.get('https://random.api./users');
}
}
import { Injectable } from '@angular/core';
import { Http } from '@angular/http';

@Injectable({ 
providedIn: 'root', 
})
export class RepoService{
constructor(private http: Http){
}

fetchAll(){
return this.http.get('https://random.api./users');
}
}
","[['8y4e4y', 78.25]]"
140,yybrwp,"import { Injectable } from '@angular/core';
import { HttpClient } from '@angular/common/http';
const userProfileUrl: string = 'assets/data/profile.json';
Injectable()
export class UserProfileService {
constructor(private http: HttpClient) { }
getUserProfile() {
this.http.get(this.userProfileUrl);
}
}
There is some error in the following. Identify the error and choose the correct option.import { Injectable } from '@angular/core';
import { HttpClient } from '@angular/common/http';

const userProfileUrl: string = 'assets/data/profile.json';

@Injectable()
export class UserProfileService {
constructor(private http: HttpClient) { }

getUserProfile() {
return this.http.get(this.userProfileUrl);
}
}
","[['yybrwp', 76.57]]"
141,4g8b1x,"Consider the following code of list of productsh1Product List/h1
div class='table-responsive'
table class='table'
thead
tr
thID/th
thName/th
thPrice/th
/tr
/thead
tbody
tr *ngFor=""let product of products;""
td{{product.productID}}/td
tda [routerLink]=""['detail',product.productID]""{{product.name}} /a /td
td{{product.price}}/td
/tr
/tbody
/table
/div
 
router-outlet/router-outlet
How would you display this list of products using dependency injection?import { Component, OnInit } from '@angular/core';
 
import { ProductService } from './product.service';
import { Product } from './product';
 
@Component({
templateUrl: './product.component.html',
})
 
export class ProductComponent
{
 
products:Product[];

constructor(private productService:ProductService){
}
 
ngOnInit() {
this.products=this.productService.getProducts();
}

}
 
","[['4g8b1x', 69.51]]"
142,3g1wxo,"Which among the following example shows the correct way to navigate between different routes.import from ""@angular/router"";
.
.
.
@Component({
selector: 'app-header',
template: `
nav class=""navbar navbar-light bg-faded""
a class=""navbar-brand"" (click)=""goHome()""Some Search App/a 
ul class=""nav navbar-nav""
li class=""nav-item""
a class=""nav-link"" (click)=""goHome()""Home/a 
/li
li class=""nav-item""
a class=""nav-link"" (click)=""goSearch()""Search/a 
/li
/ul
/nav
 `
})
class HeaderComponent {
constructor(private router: Router) {} 
goHome() {
this.router.navigate(['']); 
}
goSearch() {
this.router.navigate(['search']); 
}
}
",[]
143,d08rv1,"Among the following, identify which one is missing.ngOnChanges,
ngDoCheck,
ngAfterContentInit,
ngAfterContentChecked,
ngAfterViewInit,
ngOnDestroy
ngAfterViewChecked
",[]
144,1q6xme,"You are working on an angular application and are required to pass some data from the below component to another component. What would be your preferred option?import { Component } from '@angular/core';
import { Myhero } from './hero';
@Component({
selector: 'app-hero-parent',
template: `
h2{{master}} controls {{heroes.length}} heroes/h2
app-hero-child
*ngFor=""let hero of heroes""
[hero]=""hero""
[master]=""master""
/app-hero-child
`
})
export class ParentComponent {
heroes = Myhero;
master = 'Master';
}
import { Component, Input } from '@angular/core';

import { M_Hero } from './hero';

@Component({
selector: 'app-hero-child',
template: `
h3{{hero.name}} says:/h3
pI, {{hero.name}}, -- , {{masterName}}./p
`
})
export class ChildComponent {
@Input() hero!: M_Hero;
@Input('master') masterName = '';
}
","[['1q6xme', 83.67]]"
145,gb6gn9,"Choose the correct output for the following code snippet if “Interstellar” is chosen from the dropdownapp.component.ts
export class AppComponent{ 
movies = [""Inception"", ""Interstellar"", ""Tenet""];
selectedMovie;
hasReleased;
movieStatus()
{
 if(this.selectedMovie==""Tenet"")
this.hasReleased=false
}
}
app.component.html

div Movie :
select (change) = ""movieStatus()"" name = ""movie"" [(ngModel)]=selectedMovie
option *ngFor = ""let i of movies""{{i}}/option
/select
/div
div
span *ngIf=""hasReleased; else notReleased""Movie has released/span
ng-template #notReleasedMovie has not released yet/ng-template
/div
Movie has not released
","[['gb6gn9', 82.94]]"
146,0qrl58,"consider the following code and predict the correct fill for the ____. div ______(a)=""iActive"" class=""FirstName""
{{name}}
 /div
NgIf
","[['0qrl58', 96.53]]"
147,mqg3ol,"Examine the below-given code and choose the correct optiona)import { Injectable } from '@angular/core';
import { AdminModule } from './AdminModule';
@Injectable({
providedIn: AdminModule,
})
export class AdminService {
}
b)import { Injectable } from '@angular/core';
@Injectable({
providedIn: 'any',
})
export class AdminService {
}
i)if it is needed in the code then import is necessaryii)only load when it's getting necessary All are valid","[['mqg3ol', 81.99]]"
148,q6g81p,"Examine the following given code and predict the output.name={
“KAKAL”
}
h2name/h2
name
","[['q6g81p', 86.15]]"
149,5ywnp3,"Choose the correct way to populate a dropdown using the array gender.export class AppComponent{
gender = [""Male"", ""Female"", ""Prefer not to say""];
}
select name = ""gender""
option *ngFor = ""let i of gender""{{i}}/option
/select
","[['5ywnp3', 66.9]]"
150,pogx14,"Read the following code and identify the problem with the code and choose the correct option.import { Pipe, PipeTransform } from '@angular/core';
 @Pipe({
name: 'demopipe'
})
export class Pipedemo implements PipeTransform {
transform(value: unknown, ...args: unknown[]): unknown {
return Pipe;
}
 }
import { Pipe, PipeTransform } from '@angular/core';

 @Pipe({

name: 'demopipe'

})

export class Pipedemo implements PipeTransform {

transform(value: unknown, ...args: unknown[]): unknown {

return null;

}
}
","[['pogx14', 81.17]]"
151,rldw1o,"Consider the below code and suppose this is what you get after getting the link API/works/4 gives : 
{
""studentId"": 4,
}
api/works/5 gives : 
{
""studentId"": 5,
 }
Then what will be the output of the following code snippetapp.component.ts
export class AppComponent {
forkjson: {};
constructor(private http: HttpClient) { }
ngOnInit() {
let work4 = this.http.get('api/works/4');
let work5 = this.http.get('api/works/5');
forkJoin([work4, work5]).subscribe(results = { 
(results[0] as any).work = results[4];
this.forkjson = results[0];
});
}
}
app.component.html
 {{forkjson | json}}
{studentId: 4,work: {studentId: 5,}}","[['rldw1o', 85.55]]"
152,eewqry,"Read the code and select the lines which is there in the code to apply the Async pipe. tbody *ngFor=""let shoes of shoess$ | async""
tr
td align=""center""{{shoes.ArtNo}}/td
td{{shoes.Brand}}/td
td{{shoes.Price }}/td
td{{shoes.Provider}}/td
td{{shoes.ProviderArtNo}}/td
td{{shoes.SalesAccount}}/td
/tr
/tbody
tbody *ngFor=""let shoes of shoess$ | async""
","[['eewqry', 77.24]]"
153,n1m6go,"Choose the correct output for the following code snippet.appComponent.ts
export class AppComponent{
name=""WORLD"";
condition=true
}
appComponent.html
p {{name}} /p
div *ngIf=""condition as value; else elseBlock""
pName : {{name | uppercase | lowercase}}/p
/div
ng-template #elseBlockName : {{name | lowercase | uppercase }}/ng-template
WORLD world
","[['n1m6go', 81.21], ['6y9md3', 72.83], ['1q69ne', 71.32]]"
154,bnvel9,"Choose the correct output for the following code snippet.ng-template [ngIf]=true
div
True
/div
/ng-template
TRUE
","[['bnvel9', 85.43]]"
155,8y4e0y,"Consider the following snippet and accordingly choose the correct output.app.component.ts
export class AppComponent{
 isAvailable:Boolean=true
}
app.component.html
div
span *ngIf = ""isavailable;then condition1 else condition2""Condition is valid./span
ng-template #condition1Valid/ng-template
ng-template #condition2Invalid/ng-template
/div
Invalid
","[['8y4e0y', 83.29], ['pogrd4', 78.34]]"
156,xqmo89,"Consider the following snippet and accordingly choose the output if we have given 650.336 as the input in the input box?app.component.ts
export class AppComponent{
 x= 1234;
}
app.component.html
Number x : input type=""number"" [(ngModel)]=""x"" /
div{{x | number:'4.2-2'}}/div
650.34","[['xqmo89', 89.05]]"
157,6y9mbb,"Consider the following snippet about the slice and number pipe and choose the correct outputapp.component.ts
p {{ name|slice:0:-7}}/p
p {{x | number:'4.2-2'}}/p

app.component.html
export class AppComponent{
name = 'Hello World';
 x:number = 1234.546;
}
Hell
1234.55
","[['6y9mbb', 80.51]]"
158,wpbexn,"Choose the correct syntax to do two-way binding inside a dynamic ngFor dropdown considering the following code is written in the typescript file.select (change) = ""changegender()"" name = ""gender"" [(ngModel)]=selectedGender
option *ngFor = ""let i of gender""{{i}}/option
/select
export class AppComponent
{
gender = [""Male"", ""Female"", ""Prefer not to say""];
selectedGender;
changegender()
{
alert(""Value of gender is :""+this.selectedGender);
}
}
",[]
159,3g1o0o,"Examine all the codes in the given option and select the correct syntax of the code.div *ngFor=""let product of products""
 
h3
a
[title]=""product.name + ' details'""
[routerLink]=""['/products', product.id]""
{{ product.name }}
/a
/h3
 
!-- . . . --
 
 /div
",[]
160,oq3011,"Consider the following snippet about the date pipe and choose the correct outputapp.component.ts
export class AppComponent
{
 name = 'Angular 4';
 today: number = Date.now();
}
app.component.html
p {{ today | date:'short'}}/p
 p {{ today | date}}/p
 p {{ today | date:'mediumDate'}}/p
 p {{ today | date:'longDate'}}/p
Assume that the current timestamp is 11.10.2020 : 2:26 AM10/11/2020, 2:26 AM
Oct 11, 2020
Oct 11, 2020
October 11, 2020
","[['oq3011', 81.97]]"
161,yyb6qp,"Below is the code snippet that was written-@Component({
 selector: 'app',
 template: `
name-list/name-list
 `
})
class AppComponent {
}
examine the code, and tell which component is being called by instance.NameListComponent","[['yyb6qp', 85.58]]"
162,vbgdn9,"Examine the given code and choose the correct option which gives the correct answer. @NgModule({
declarations: [AppComponent],
imports: [BrowserModule],
bootstrap: [AppComponent],
 })
 export class AppModule {}
 platformBrowserDynamic().bootstrapModule(AppModule);
It declares an Angular module named AppModule that contains a bootstrapped component named AppComponent. Then it registers that module with Angular, so the app can startup.",[]
163,ao6p04,"What will be the output of the given below code snippet.app.component.ts
 export class AppComponent {
forkjson: {};
constructor(private http: HttpClient) { }
ngOnInit() {
let todo1 = {
""userId"": 1,
 }
let todo2 = {
""userId"": 2,
}
forkJoin([todo1, todo2]).subscribe(results = { 
(results[0] as any).todo = results[1];
this.forkjson = results[0];
});
}
 }
{""userId"": 1,""todo"": {""userId"": 2,}}
","[['ao6p04', 75.88]]"
164,gb6xy9,"There is a form that accepts the name of the user and a submit button, what will happen when we run this test when we have made an input of ""Harry"" : input
type=""text""
data-test-id=""name-input""
autocomplete=""off""
formControlName=""name""
class=""white large outlined""
[class]=""{'error': ( productForm.get('name').invalid)  (!productForm.get('name').pristine) }""
placeholder=""User Name""
/ 
button type=""submit"" data-test-id=""submit-button"" [disabled]=""true"" (click)=""submit()""
Submit
/button 
expect(nameInput).toHaveClass(""error"")
expect(submitButton.disabled).toBeTruthy();
Test 1 will fail
Test 2 will pass
","[['gb6xy9', 86.58]]"
165,d084p1,"Examine the following given code and predict the output by choosing the correct option. import { Observable } from 'rxjs';
 var observable = new Observable(function subscribe(subscriber) {
subscriber.next(""One"");
subscriber.next(""Two"");
subscriber.complete();
 })
 console.log(""Three"");
 observable.subscribe(
x = console.log(x),
(e)=console.log(e),
()=console.log(""Four"")
 );

 console.log('Five');
Three - One -Two - Four - Five
","[['d084p1', 87.27]]"
166,pogrd4,"Predict the output for the following :  app.component.ts
 export class AppComponent {
isAvailable:Boolean=true
 } 
 app.component.html
 div
span *ngIf = ""isavailable;then condition1 else condition2""Condition is valid./span
ng-template #condition1Valid/ng-template
ng-template #condition2Invalid/ng-template
 /div
Invalid
","[['pogrd4', 86.89], ['8y4e0y', 73.82]]"
167,1q69ne,"Examine the given code and choose the correct option which contains the correct code.  appComponent.ts
 export class AppComponent {
name=""HELLO"";
condition=true
 } 
 appComponent.html
 p {{name}} /p
 div *ngIf=""condition as value; else elseBlock""
pName : {{name | uppercase | lowercase}}/p
 /div
 ng-template #elseBlockName : {{name | lowercase | uppercase }}/ng-template
HELLO hello","[['1q69ne', 92.39]]"
168,5ywqg3,"Examine the below-given code and choose the correct route that will be loaded if we hit .“artist/101”  const routes: Routes = [
{path: '', redirectTo: 'home', pathMatch: 'full'},
{path: 'find', redirectTo: 'search'},
{path: 'home', component: HomeComponent},
{
path: movie/:movieId',
component: MovieComponent,
children: [
{path: '', redirectTo: 'tracks'},
{path: 'tracks', component: MovieListComponent}, 
{path: 'albums', component: MovieAlbumListComponent},
]
},
{path: '**', component: HomeComponent}
 ];
Inside Movie Component, MovieTracklist Component will be loaded","[['5ywqg3', 93.52]]"
169,0qrmw8,"Alina used many forms in her career but still got confused in some theoretical things, like which of the following forms used the formControl in the coding. Consider the below code and tell which forms can use this?Number= new FormControl('');
Both 1 and 2","[['0qrmw8', 98.03]]"
170,q6gq4p,"Examine the code and choose the option that which styling will be applied to the component :   app.component.ts
 export class AppComponent {
style: {};
fontStyle=true
fontWeight=false;
fontSize;
constructor()
{
this.style = {
'font-style': this.fontStyle ? 'italic' : 'normal',
'font-weight': !this.fontWeight ? 'bold' : 'normal',
'font-size': this.fontSize ? '24px' : '12px'
};
}
 }
Italic bold 12px","[['q6gq4p', 88.29], ['0qrmb1', 73.86]]"
171,rld5vo,"A code snippet is given below, what can be the output after executing the following code? import { Observable } from 'rxjs';
 var observable = new Observable(function subscribe(subscriber) {
subscriber.next(""mango"");
subscriber.next(""apple"");
subscriber.complete();
 })
 console.log(""banana"");
 observable.subscribe(
x = console.log(x),
(e)=console.log(e),
()=console.log(""orange"")
 );

 console.log('kiwi');
banana - mango -apple - orange - kiwi
","[['rld5vo', 87.17]]"
172,n1me5o,"While coding in Angular JS, which of the following keyword cannot be used by both of the form types of Angular 7.ngModel","[['n1me5o', 96.96]]"
173,9depyl,"Anne wants to update some specific values and help her to detect the error in this code.updateProfile() {
this.studentProfile.PatchValue({
Name: Rina,
address: {
street: 'Paris street'
}
});
}
No error","[['9depyl', 77.25]]"
174,mqg9rl,"Consider the below-given code and tell what will this line of code help to do?@Input('StudentData') Students
it will change the name of field from StudentData to Students","[['mqg9rl', 84.28]]"
175,bnvdq9,"Anne was an angular developer and used validators in the angular code, so predict which input code will be acceptable in the following code format?this.userForm = this.fb.group({
address: ['', [Validators.required,Validators.pattern('[A-M]*$')]],
number: ['', [Validators.required,Validators.pattern('[m-z][2-9][0-9]')]]
});
AAAAA
 m38
","[['bnvdq9', 92.79]]"
176,lq1me1,"In the generation of the component module, which is the correct line that will initialize the component for control?ng generate component statement","[['lq1me1', 91.93]]"
